SubFunctionID|Descr|FunctionID
480|Enterprise & B2B Sales|11
481|Advertising Sales|11
482|Area Sales Manager (B2B)|11
483|Branch Sales Executive|11
484|Branch Sales Manager (B2B)|11
485|Channel Management|11
486|Enterprise Sales Manager|11
487|Key Account Manager|11
488|Regional Sales Manager (B2B)|11
489|Sales Head (B2B)|11
490|Territory Sales Manager (B2B)|11
491|Zonal Sales Manager (B2B)|11
492|Enterprise & B2B Sales - Other|11
493|Retail & B2C Sales|11
494|Area Sales Manager (B2C)|11
495|Branch Sales Manager (B2C)|11
496|Direct Sales Executive|11
497|Field Sales Executive|11
498|Real Estate Consultant / Agent|11
499|Regional Sales Manager (B2C)|11
500|Retail Banking Sales|11
501|Retail Sales|11
502|Sales Head (B2C)|11
503|Telesales|11
504|Territory Sales Manager (B2C)|11
505|Zonal Sales Manager (B2C)|11
506|Retail & B2C Sales - Other|11
507|Sales Support & Operations|11
508|Client Retention|11
509|Customer Engagement|11
510|Sales Operations / Enablement|11
511|Sales Support & Operations|11
512|Architecture & Interior Design|12
513|3D Visualizer / Artist|12
514|Architect|12
515|Design Manager|12
516|Director - Architecture|12
517|Draughtsman|12
518|Interior Designer|12
519|Landscape Architect|12
520|Naval Architect|12
521|Project Architect|12
522|Store Designer|12
523|Town / Urban Planner|12
524|Architecture & Interior Design - Other|12
525|Fashion & Accessories|12
526|Accessory Designer|12
527|Fashion Designer|12
528|Fashion Stylist|12
529|Footwear Designer|12
530|Jewellery Designer|12
531|Pattern Master|12
532|Textile Designer|12
533|Fashion & Accessories - Other|12
534|UI / UX|12
535|Content Designer|12
536|Interaction Designer|12
537|UI / UX Designer|12
538|User Research Manager|12
539|User Researcher|12
540|UX Architect|12
541|UX Design Manager|12
542|UX Head|12
543|UX Writer|12
544|UI / UX - Other|12
545|Other Design|12
546|3D Modeller|12
547|Animator|12
548|Chief Creative Officer (CCO)|12
549|Chief Design Officer (CDO)|12
550|Communication Designer|12
551|Creative / Art Director|12
552|Game Designer|12
553|Graphic Designer|12
554|Illustrator|12
555|Image Editor|12
556|Industrial Designer|12
557|Motion Graphics Designer|12
558|Product Designer|12
559|Storyboard Artist|12
560|Video Editor|12
561|Visual Designer|12
562|VR / AR Designer|12
563|Web Designer|12
564|UX, Design & Architecture - Other|12
565|Administration|13
566|Employee Health and Safety Management|13
567|Front Office|13
568|Head - Administration|13
569|Inventory Management|13
570|Office Admin|13
571|Transport Management|13
572|Travel Desk Coordination|13
573|Vendor Management|13
574|Administration - Other|13
575|Facility Management|13
576|Back Office|13
577|Equipment Management|13
578|Facility Manager|13
579|Floor / Building Manager|13
